Instance,Algorithm,Run,InitialFitness,InitialSolution,FinalFitness,FinalSolution,TimeMs,Evaluations,Steps
bur26a.dat,G-2swap,61,5791709,"[13, 22, 16, 15, 8, 14, 25, 6, 3, 18, 2, 9, 20, 24, 10, 11, 12, 4, 23, 19, 17, 0, 1, 21, 7, 5]",5727521,"[16, 10, 22, 23, 9, 7, 11, 2, 17, 21, 0, 24, 8, 1, 19, 20, 13, 4, 5, 14, 6, 18, 25, 3, 12, 15]",0.0643,56,10
bur26a.dat,G-2swap,62,5807258,"[6, 22, 12, 21, 19, 5, 11, 2, 1, 0, 4, 3, 17, 20, 23, 15, 9, 7, 14, 18, 25, 16, 24, 10, 8, 13]",5746648,"[15, 9, 25, 24, 12, 5, 22, 10, 8, 6, 13, 19, 0, 4, 16, 21, 1, 23, 20, 11, 2, 18, 17, 14, 3, 7]",0.0642,52,10
bur26a.dat,G-2swap,63,5817298,"[13, 22, 1, 17, 2, 10, 5, 11, 18, 23, 8, 24, 9, 16, 20, 6, 4, 25, 0, 12, 19, 21, 3, 14, 15, 7]",5676720,"[22, 25, 16, 24, 17, 15, 6, 19, 1, 3, 4, 5, 13, 8, 0, 14, 11, 23, 20, 21, 7, 18, 9, 12, 2, 10]",0.0627,53,10
bur26a.dat,G-2swap,64,5757089,"[22, 1, 7, 14, 13, 19, 25, 12, 0, 11, 16, 24, 2, 5, 15, 21, 18, 4, 20, 8, 17, 6, 9, 23, 10, 3]",5710608,"[14, 6, 16, 5, 23, 22, 15, 20, 17, 0, 4, 3, 18, 1, 21, 2, 19, 9, 8, 13, 12, 7, 10, 25, 11, 24]",0.0504,38,10
bur26a.dat,G-2swap,65,5832710,"[10, 21, 8, 5, 14, 6, 2, 24, 17, 23, 15, 11, 20, 19, 4, 25, 1, 7, 3, 12, 16, 18, 0, 9, 22, 13]",5708859,"[14, 22, 1, 19, 10, 5, 2, 12, 17, 18, 9, 21, 25, 8, 23, 0, 11, 4, 13, 6, 7, 3, 15, 24, 20, 16]",0.055,41,10
bur26a.dat,G-2swap,66,5860689,"[10, 13, 5, 14, 0, 12, 19, 22, 8, 17, 23, 4, 16, 11, 24, 21, 18, 7, 2, 6, 20, 1, 25, 15, 9, 3]",5693207,"[0, 12, 23, 10, 2, 1, 14, 13, 25, 5, 8, 4, 9, 7, 18, 17, 19, 22, 3, 16, 15, 20, 21, 11, 6, 24]",0.069,45,10
bur26a.dat,G-2swap,67,5741535,"[15, 18, 3, 8, 24, 22, 10, 1, 19, 11, 16, 4, 5, 12, 7, 2, 25, 13, 17, 9, 6, 20, 21, 14, 23, 0]",5736295,"[15, 18, 3, 24, 8, 22, 10, 1, 19, 11, 16, 4, 5, 12, 7, 2, 25, 13, 17, 9, 6, 20, 21, 14, 23, 0]",0.0553,39,10
bur26a.dat,G-2swap,68,5934258,"[15, 19, 17, 4, 2, 22, 21, 9, 24, 1, 8, 0, 18, 11, 16, 13, 5, 20, 10, 23, 3, 12, 25, 6, 7, 14]",5746782,"[2, 22, 25, 9, 17, 3, 23, 13, 16, 12, 14, 8, 4, 15, 5, 1, 20, 7, 19, 0, 10, 6, 21, 11, 24, 18]",0.0745,47,10
bur26a.dat,G-2swap,69,5811164,"[21, 22, 2, 24, 8, 20, 10, 0, 4, 23, 12, 19, 5, 15, 25, 13, 7, 14, 18, 3, 17, 16, 11, 6, 1, 9]",5665891,"[6, 15, 12, 9, 22, 20, 1, 8, 21, 17, 18, 13, 19, 4, 23, 25, 0, 14, 5, 10, 24, 16, 7, 3, 11, 2]",0.0542,43,10
bur26a.dat,G-2swap,70,5761982,"[24, 23, 10, 3, 0, 22, 5, 4, 12, 8, 17, 21, 18, 13, 9, 14, 11, 15, 19, 25, 20, 1, 7, 6, 2, 16]",5750547,"[24, 23, 10, 3, 0, 9, 5, 4, 12, 8, 17, 21, 18, 13, 22, 14, 11, 15, 19, 25, 20, 1, 7, 6, 2, 16]",0.0614,50,10
